id,month,day,hour,weekday,fatal_injuries,serious_injuries,minor_injuries,latitude,longitude,municipality,street
75,Jan,2,11,Monday,0,0,1,38.738304,-9.154762,Lisboa,Avenida de Berna
81,Jan,2,12,Monday,0,0,1,38.729554,-9.134547,Lisboa,Avenida Almirante Reis
122,Jan,2,18,Monday,0,0,1,38.72409,-9.179227,Lisboa,Autoestrada da Costa do Estoril
136,Jan,2,19,Monday,0,0,1,38.770221,-9.109392,Lisboa,Rua Contra-Almirante Armando Ferraz
144,Jan,3,5,Tuesday,0,0,1,38.714956,-9.140986,Lisboa,Rua 1º de Dezembro
153,Jan,3,8,Tuesday,0,0,1,38.731423,-9.137639,Lisboa,Rua José Estevão
170,Jan,3,9,Tuesday,0,0,1,38.752286,-9.151186,Lisboa,Ciclovia Campo Grande
174,Jan,3,9,Tuesday,0,0,1,38.755027,-9.139186,Lisboa,Avenida do Rio de Janeiro
176,Jan,3,9,Tuesday,0,0,1,38.754489,-9.152776,Lisboa,Campo Grande
180,Jan,3,9,Tuesday,0,0,1,38.720748,-9.160578,Lisboa,Rua Dom João V
181,Jan,3,10,Tuesday,0,0,1,38.757406,-9.178663,Lisboa,Avenida Eusébio da Silva Ferreira/2ª Circular
213,Jan,3,14,Tuesday,0,0,1,38.705314,-9.158065,Lisboa,Avenida 24 de Julho
219,Jan,3,15,Tuesday,0,0,1,38.720249,-9.154793,Lisboa,Vila Visconde de Santo Ambrósio
228,Jan,3,16,Tuesday,0,0,1,38.739085,-9.15812,Lisboa,Rua Professor Lima Basto
237,Jan,3,17,Tuesday,0,0,1,38.696317,-9.198001,Lisboa,Avenida da Índia
259,Jan,3,19,Tuesday,0,0,1,38.742096,-9.132403,Lisboa,Túnel da Avenida João XXI
262,Jan,3,20,Tuesday,0,0,1,38.720432,-9.135521,Lisboa,Avenida Almirante Reis
271,Jan,4,2,Wednesday,0,0,1,38.750307,-9.112014,Lisboa,Avenida Marechal António de Spínola
304,Jan,4,11,Wednesday,0,0,1,38.734792,-9.124842,Lisboa,Avenida Marechal Francisco da Costa Gomes
307,Jan,4,12,Wednesday,0,0,1,38.790258,-9.150628,Lisboa,Estrada Militar
314,Jan,4,13,Wednesday,0,0,1,38.721971,-9.147167,Lisboa,Rua Barata Salgueiro
340,Jan,4,15,Wednesday,0,0,2,38.722296,-9.186421,Lisboa,Estrada do Alvito
358,Jan,4,18,Wednesday,0,0,1,38.746962,-9.190545,Lisboa,Rua Paulo Renato
373,Jan,4,19,Wednesday,0,0,1,38.766754,-9.154373,Lisboa,Avenida Maria Helena Vieira da Silva
413,Jan,5,10,Thursday,0,0,1,38.714629,-9.140615,Lisboa,Rua 1º de Dezembro
425,Jan,5,12,Thursday,0,0,1,38.752522,-9.170014,Lisboa,Eixo Norte-Sul
438,Jan,5,15,Thursday,0,0,1,38.719715,-9.135617,Lisboa,Rua da Palma
453,Jan,5,17,Thursday,0,0,1,38.768929,-9.116139,Lisboa,Avenida Doutor Francisco Luís Gomes
457,Jan,5,18,Thursday,0,0,1,38.763894,-9.167001,Lisboa,Rua Professor Vieira de Almeida
461,Jan,5,18,Thursday,0,0,1,38.767637,-9.104489,Lisboa,Avenida de Berlim
469,Jan,5,19,Thursday,0,0,1,38.723667,-9.11759,Lisboa,Calçada das Lajes
470,Jan,5,20,Thursday,0,0,1,38.723816,-9.162838,Lisboa,Avenida Engenheiro Duarte Pacheco
483,Jan,5,23,Thursday,0,0,1,38.783009,-9.12315,Lisboa,Avenida Engenheiro Duarte Pacheco
503,Jan,6,9,Friday,0,0,1,38.729678,-9.14753,Lisboa,Ciclovia da Avenida Fontes Pereira de Melo
528,Jan,6,15,Friday,0,0,1,38.757185,-9.166504,Lisboa,Avenida General Norton de Matos/2ª Circular
564,Jan,6,22,Friday,0,0,1,38.751306,-9.168947,Lisboa,Eixo Norte-Sul
576,Jan,7,11,Saturday,0,0,1,38.715901,-9.158635,Lisboa,Avenida Pedro Álvares Cabral
579,Jan,7,11,Saturday,0,0,1,38.704585,-9.176227,Lisboa,Rua Fradesso da Silveira
584,Jan,7,12,Saturday,0,0,1,38.774706,-9.11145,Lisboa,Rua Sargento Armando Monteiro Ferreira
589,Jan,7,13,Saturday,0,0,1,38.724026,-9.160558,Lisboa,Rua Carlos Alberto da Mota Pinto
591,Jan,7,13,Saturday,0,0,1,38.711043,-9.148253,Lisboa,Travessa da Condessa do Rio
650,Jan,8,4,Sunday,0,0,1,38.703582,-9.166943,Lisboa,Avenida 24 de Julho
654,Jan,8,8,Sunday,0,0,2,38.745382,-9.192404,Lisboa,Estrada do Calhariz de Benfica
656,Jan,8,9,Sunday,0,0,1,38.740702,-9.200841,Lisboa,Avenida Eusébio da Silva Ferreira/2ª Circular
660,Jan,8,11,Sunday,0,0,2,38.723484,-9.164176,Lisboa,Avenida Engenheiro Duarte Pacheco
700,Jan,8,22,Sunday,0,0,1,38.74608,-9.155746,Lisboa,Avenida Álvaro Pais
701,Jan,8,23,Sunday,0,0,1,38.703323,-9.167487,Lisboa,Avenida de Brasília
3303,Feb,6,10,Monday,0,0,1,38.745279,-9.147389,Lisboa,Avenida da República
3331,Feb,6,16,Monday,0,0,1,38.76964,-9.19493,Lisboa,Estrada Militar
3346,Feb,6,18,Monday,0,0,1,38.737982,-9.172866,Lisboa,Radial de Benfica
3351,Feb,6,18,Monday,0,0,1,38.739797,-9.142562,Lisboa,Rua de Dona Filipa de Vilhena
3362,Feb,6,21,Monday,0,0,1,38.759036,-9.156327,Lisboa,Campo Grande
3365,Feb,6,22,Monday,0,0,1,38.73499,-9.12501,Lisboa,Avenida Marechal Francisco da Costa Gomes
3380,Feb,7,9,Tuesday,0,0,1,38.723124,-9.175417,Lisboa,Eixo Norte-Sul
3410,Feb,7,15,Tuesday,0,0,1,38.767516,-9.097772,Lisboa,Avenida Dom João II
3436,Feb,7,19,Tuesday,0,0,1,38.733991,-9.149681,Lisboa,Rua Pinheiro Chagas
3473,Feb,8,13,Wednesday,0,0,1,38.755823,-9.187392,Lisboa,Rua Albert Einstein
3486,Feb,8,15,Wednesday,0,0,1,38.732892,-9.146693,Lisboa,Avenida 5 de Outubro
3504,Feb,8,18,Wednesday,0,0,2,38.757656,-9.179198,Lisboa,Estrada da Luz
3515,Feb,8,21,Wednesday,1,0,0,38.75275,-9.17004,Lisboa,Eixo Norte-Sul
3516,Feb,8,22,Wednesday,0,0,1,38.749933,-9.119064,Lisboa,Avenida Cidade de Bratislava
3520,Feb,9,1,Thursday,0,0,1,38.77035,-9.166764,Lisboa,Eixo Norte-Sul
3521,Feb,9,1,Thursday,0,0,1,38.764998,-9.177163,Lisboa,Azinhaga da Torre do Fato
3538,Feb,9,9,Thursday,0,0,1,38.737339,-9.144012,Lisboa,Avenida Defensores de Chaves
3551,Feb,9,10,Thursday,0,0,1,38.70669,-9.174383,Lisboa,Rua do Alvito
3554,Feb,9,11,Thursday,0,0,2,38.759624,-9.111538,Lisboa,Rua Cidade de Bissau
3562,Feb,9,13,Thursday,0,0,1,38.757019,-9.141432,Lisboa,Rua de João Saraiva
3565,Feb,9,13,Thursday,0,0,1,38.767599,-9.104242,Lisboa,Via Recíproca
3580,Feb,9,15,Thursday,0,0,1,38.717599,-9.129931,Lisboa,Largo da Graça
3593,Feb,9,18,Thursday,0,0,1,38.780198,-9.16439,Lisboa,Calçada de Carriche
3605,Feb,9,19,Thursday,0,0,1,38.73538,-9.14495,Lisboa,Avenida Duque de Ávila
3665,Feb,10,14,Friday,0,0,1,38.734033,-9.149685,Lisboa,Rua Pinheiro Chagas
3670,Feb,10,15,Friday,0,0,1,38.764354,-9.131195,Lisboa,Rua Interior ao Aeroporto da Portela
3673,Feb,10,15,Friday,0,0,1,38.741484,-9.124472,Lisboa,Avenida Engenheiro Arantes e Oliveira
3678,Feb,10,16,Friday,0,0,1,38.752234,-9.2059,Lisboa,Estrada de Benfica
3682,Feb,10,16,Friday,0,0,1,38.728169,-9.137649,Lisboa,Rua José Estevão
3724,Feb,11,4,Saturday,0,0,1,38.76305,-9.134878,Lisboa,Avenida Marechal Craveiro Lopes/2ª Circular
3732,Feb,11,7,Saturday,0,0,1,38.71684,-9.152648,Lisboa,Rua da Imprensa Nacional
3806,Feb,12,0,Sunday,0,0,1,38.734301,-9.15392,Lisboa,Avenida António Augusto de Aguiar
3809,Feb,12,2,Sunday,0,0,1,38.774771,-9.097143,Lisboa,Praça do Venturoso
5695,Mar,6,7,Monday,0,0,1,38.709451,-9.136327,Lisboa,Rua da Prata
5712,Mar,6,9,Monday,0,0,1,38.724035,-9.148803,Lisboa,Avenida da Liberdade
5732,Mar,6,12,Monday,0,0,1,38.72927,-9.134484,Lisboa,Avenida Almirante Reis
5740,Mar,6,13,Monday,0,0,1,38.761734,-9.114905,Lisboa,Rua Cidade de Bolama
5762,Mar,6,17,Monday,0,0,1,38.770123,-9.109048,Lisboa,Rua Contra-Almirante Armando Ferraz
5772,Mar,6,18,Monday,0,0,1,38.774454,-9.10585,Lisboa,Avenida Doutor Alfredo Bensaúde
5785,Mar,6,22,Monday,0,0,1,38.718614,-9.217802,Lisboa,Circular Regional Interior de Lisboa (CRIL)
5804,Mar,7,8,Tuesday,0,0,1,38.768971,-9.195641,Lisboa,Estrada Militar
5814,Mar,7,9,Tuesday,0,0,1,38.720648,-9.130108,Lisboa,Rua da Graça
5818,Mar,7,9,Tuesday,0,0,1,38.759653,-9.19066,Lisboa,Estrada da Correia
5832,Mar,7,13,Tuesday,0,0,1,38.747947,-9.150137,Lisboa,Avenida das Forças Armadas
5843,Mar,7,16,Tuesday,0,0,1,38.724,-9.182961,Lisboa,Pista Pedreira Preta
5868,Mar,7,19,Tuesday,0,0,1,38.689634,-9.176985,Lisboa,Ponte 25 de Abril
5870,Mar,7,20,Tuesday,0,0,1,38.727822,-9.155998,Lisboa,Rua Sampaio e Pina
5887,Mar,8,8,Wednesday,0,0,1,38.748817,-9.130701,Lisboa,Avenida Marechal António de Spínola
5914,Mar,8,13,Wednesday,0,0,1,38.774285,-9.152341,Lisboa,Avenida Carlos Paredes
5919,Mar,8,15,Wednesday,0,0,2,38.733415,-9.144249,Lisboa,Avenida Casal Ribeiro
5926,Mar,8,16,Wednesday,0,0,1,38.723681,-9.135147,Lisboa,Avenida Almirante Reis
5927,Mar,8,16,Wednesday,0,0,1,38.72286,-9.199704,Lisboa,Autoestrada da Costa do Estoril
5936,Mar,8,17,Wednesday,0,0,1,38.711946,-9.175499,Lisboa,Rua da Quinta do Cabrinha
5939,Mar,8,17,Wednesday,0,0,1,38.762986,-9.130058,Lisboa,Avenida Marechal Gomes da Costa
5944,Mar,8,18,Wednesday,0,0,1,38.759945,-9.111668,Lisboa,Rua Cidade de Bissau
5978,Mar,9,10,Thursday,0,0,1,38.750649,-9.197711,Lisboa,Estrada de Benfica
5986,Mar,9,12,Thursday,0,0,1,38.762993,-9.106598,Lisboa,Ciclovia Avenida de Pádua
5989,Mar,9,13,Thursday,0,0,1,38.761672,-9.163249,Lisboa,Rua Professor Fernando da Fonseca
5998,Mar,9,15,Thursday,0,0,1,38.76194,-9.147575,Lisboa,Avenida Marechal Craveiro Lopes/2ª Circular
6033,Mar,9,21,Thursday,0,0,1,38.713082,-9.175639,Lisboa,Avenida de Ceuta
6036,Mar,9,21,Thursday,0,0,1,38.729419,-9.125659,Lisboa,Avenida Mouzinho de Albuquerque
6039,Mar,10,3,Friday,0,0,1,38.705834,-9.177606,Lisboa,Rua dos Lusíadas
6066,Mar,10,11,Friday,0,0,1,38.731432,-9.148478,Lisboa,Rua Tomás Ribeiro
6070,Mar,10,12,Friday,0,0,1,38.762295,-9.163574,Lisboa,Avenida Padre Cruz
6091,Mar,10,16,Friday,0,0,1,38.721574,-9.17551,Lisboa,Avenida de Ceuta
6108,Mar,10,19,Friday,0,0,1,38.788771,-9.150641,Lisboa,Estrada Militar
6164,Mar,11,12,Saturday,0,0,1,38.724463,-9.128601,Lisboa,Avenida General Roçadas
6166,Mar,11,13,Saturday,0,0,1,38.764742,-9.103896,Lisboa,Avenida Infante Dom Henrique
6175,Mar,11,14,Saturday,0,0,1,38.727239,-9.141855,Lisboa,Rua Gomes Freire
6195,Mar,11,18,Saturday,0,0,1,38.732627,-9.132373,Lisboa,Rua Cavaleiro de Oliveira
6205,Mar,11,21,Saturday,0,0,1,38.717741,-9.151508,Lisboa,Rua da Escola Politécnica
6212,Mar,11,22,Saturday,0,0,2,38.750901,-9.142801,Lisboa,Avenida de Roma
6231,Mar,12,9,Sunday,0,0,3,38.71217,-9.179622,Lisboa,Estrada do Alvito
6256,Mar,12,13,Sunday,0,0,2,38.721437,-9.146685,Lisboa,Avenida da Liberdade
6290,Mar,12,18,Sunday,0,0,1,38.712093,-9.153019,Lisboa,Avenida Engenheiro Duarte Pacheco
8235,Apr,3,7,Monday,0,0,1,38.774333,-9.166482,Lisboa,Estrada do Lumiar
8276,Apr,3,13,Monday,0,0,1,38.716737,-9.119091,Lisboa,Avenida Infante Dom Henrique
8302,Apr,3,18,Monday,0,0,1,38.793332,-9.153439,Lisboa,Rua do Grafanil
8311,Apr,3,20,Monday,0,0,1,38.737262,-9.145449,Lisboa,Avenida Miguel Bombarda
8314,Apr,3,21,Monday,0,0,2,38.767055,-9.165155,Lisboa,Avenida Padre Cruz
8329,Apr,4,8,Tuesday,0,0,1,38.710826,-9.139574,Lisboa,Rua Nova do Almada
8356,Apr,4,13,Tuesday,0,0,1,38.759737,-9.162809,Lisboa,Rua Professor Vítor Fontes
8386,Apr,4,17,Tuesday,0,0,1,38.72388,-9.132075,Lisboa,Rua do Forno do Tijolo
8396,Apr,4,17,Tuesday,0,0,1,38.72367,-9.197482,Lisboa,Autoestrada da Costa do Estoril
8404,Apr,4,18,Tuesday,0,0,1,38.699337,-9.18073,Lisboa,Avenida da Índia
8448,Apr,5,11,Wednesday,0,0,1,38.704657,-9.20234,Lisboa,Calçada do Galvão
8452,Apr,5,12,Wednesday,0,0,1,38.744993,-9.198054,Lisboa,Avenida Gomes Pereira
8479,Apr,5,17,Wednesday,0,0,2,38.73589,-9.200572,Lisboa,Estrada de Monsanto
8480,Apr,5,17,Wednesday,0,0,1,38.760218,-9.172398,Lisboa,Eixo Norte-Sul
8482,Apr,5,17,Wednesday,0,0,2,38.710964,-9.139695,Lisboa,Rua Garrett
8484,Apr,5,18,Wednesday,0,0,1,38.71274,-9.173622,Lisboa,Rua Maria Pia
8497,Apr,5,19,Wednesday,0,0,1,38.72139,-9.151868,Lisboa,Rua Rodrigo da Fonseca
8501,Apr,5,20,Wednesday,0,0,1,38.755724,-9.194279,Lisboa,Avenida Lusíada
8510,Apr,6,2,Thursday,0,0,1,38.759431,-9.156216,Lisboa,Campo Grande
8513,Apr,6,6,Thursday,0,0,1,38.721754,-9.12882,Lisboa,Avenida General Roçadas
